Date,price,zone
2/3/2019 6:00:00 AM,38.08090,SCE
2/3/2019 6:00:00 AM,38.45843,SDGE
2/3/2019 6:00:00 AM,38.04238,VEA
2/3/2019 7:00:00 AM,37.01081,PGAE
2/3/2019 7:00:00 AM,35.82184,SCE
2/3/2019 7:00:00 AM,36.09817,SDGE
2/3/2019 7:00:00 AM,35.82911,VEA
2/3/2019 8:00:00 AM,31.56192,PGAE
2/3/2019 8:00:00 AM,30.30204,SCE
2/3/2019 8:00:00 AM,30.61392,SDGE
2/3/2019 8:00:00 AM,30.02721,VEA
2/3/2019 9:00:00 AM,30.69074,PGAE
2/3/2019 9:00:00 AM,29.05192,SCE
2/3/2019 9:00:00 AM,29.29029,SDGE
2/3/2019 9:00:00 AM,28.60795,VEA
2/3/2019 10:00:00 AM,27.37182,PGAE
2/3/2019 10:00:00 AM,25.99231,SCE
2/3/2019 10:00:00 AM,26.31455,SDGE
2/3/2019 10:00:00 AM,25.65409,VEA
2/3/2019 11:00:00 AM,22.96853,PGAE
2/3/2019 11:00:00 AM,21.65516,SCE
2/3/2019 11:00:00 AM,21.85995,SDGE
2/3/2019 11:00:00 AM,21.42810,VEA
2/3/2019 12:00:00 PM,20.39258,PGAE
2/3/2019 12:00:00 PM,19.35560,SCE
2/3/2019 12:00:00 PM,19.57172,SDGE
2/3/2019 12:00:00 PM,19.07802,VEA
2/3/2019 1:00:00 PM,21.45462,PGAE
2/3/2019 1:00:00 PM,20.33969,SCE
2/3/2019 1:00:00 PM,20.52933,SDGE
2/3/2019 1:00:00 PM,20.03334,VEA
2/3/2019 2:00:00 PM,24.55357,PGAE
2/3/2019 2:00:00 PM,23.36569,SCE
2/3/2019 2:00:00 PM,23.64772,SDGE
2/3/2019 2:00:00 PM,22.99522,VEA
2/3/2019 3:00:00 PM,29.61957,PGAE
2/3/2019 3:00:00 PM,28.50213,SCE
2/3/2019 3:00:00 PM,28.88815,SDGE
2/3/2019 3:00:00 PM,28.10449,VEA
2/3/2019 4:00:00 PM,39.10921,PGAE
2/3/2019 4:00:00 PM,38.43437,SCE
2/3/2019 4:00:00 PM,39.17126,SDGE
2/3/2019 4:00:00 PM,37.89141,VEA
2/3/2019 5:00:00 PM,45.93671,PGAE
2/3/2019 5:00:00 PM,45.62928,SCE
2/3/2019 5:00:00 PM,46.91409,SDGE
2/3/2019 5:00:00 PM,44.69320,VEA
2/3/2019 6:00:00 PM,47.71804,PGAE
2/3/2019 6:00:00 PM,47.43667,SCE
2/3/2019 6:00:00 PM,48.74336,SDGE
2/3/2019 6:00:00 PM,46.88347,VEA
2/3/2019 7:00:00 PM,46.15821,PGAE
2/3/2019 7:00:00 PM,45.78512,SCE
2/3/2019 7:00:00 PM,46.93665,SDGE
2/3/2019 7:00:00 PM,44.91455,VEA
2/3/2019 8:00:00 PM,44.36187,PGAE
2/3/2019 8:00:00 PM,44.04304,SCE
2/3/2019 8:00:00 PM,45.10138,SDGE
2/3/2019 8:00:00 PM,43.08654,VEA
2/3/2019 9:00:00 PM,41.02391,PGAE
2/3/2019 9:00:00 PM,40.91313,SCE
2/3/2019 9:00:00 PM,41.77882,SDGE
2/3/2019 9:00:00 PM,39.97359,VEA
2/3/2019 10:00:00 PM,36.92007,PGAE
2/3/2019 10:00:00 PM,36.55256,SCE
2/3/2019 10:00:00 PM,37.19570,SDGE
2/3/2019 10:00:00 PM,35.99394,VEA
2/3/2019 11:00:00 PM,35.86629,PGAE
2/3/2019 11:00:00 PM,35.10046,SCE
2/3/2019 11:00:00 PM,35.58265,SDGE
2/3/2019 11:00:00 PM,34.68918,VEA
2/4/2019 12:00:00 AM,34.46207,PGAE
2/4/2019 12:00:00 AM,33.65280,SCE
2/4/2019 12:00:00 AM,33.77521,SDGE
2/4/2019 12:00:00 AM,33.28216,VEA
2/4/2019 1:00:00 AM,33.29629,PGAE
2/4/2019 1:00:00 AM,32.52715,SCE
2/4/2019 1:00:00 AM,32.71451,SDGE
2/4/2019 1:00:00 AM,32.22147,VEA
2/4/2019 2:00:00 AM,32.47723,PGAE
2/4/2019 2:00:00 AM,31.78041,SCE
2/4/2019 2:00:00 AM,32.17538,SDGE
2/4/2019 2:00:00 AM,31.56527,VEA
2/4/2019 3:00:00 AM,31.50154,PGAE
2/4/2019 3:00:00 AM,30.87494,SCE
2/4/2019 3:00:00 AM,31.23033,SDGE
2/4/2019 3:00:00 AM,30.64114,VEA
2/4/2019 4:00:00 AM,35.72096,PGAE
2/4/2019 4:00:00 AM,34.69051,SCE
2/4/2019 4:00:00 AM,35.14771,SDGE
2/4/2019 4:00:00 AM,34.52170,VEA
